OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
194,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017808,30.55519413
195,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301791,30.5551919
196,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018012,30.55518966
197,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018114,30.55518743
198,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018216,30.5551852
199,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018318,30.55518297
200,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301842,30.55518074
201,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018522,30.55517851
202,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018624,30.55517628
203,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018726,30.55517405
204,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3018828,30.55517182
205,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301893,30.55516959
206,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019032,30.55516736
207,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019134,30.55516512
208,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019236,30.55516289
209,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019339,30.55516066
210,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019441,30.55515843
211,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019543,30.5551562
212,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019645,30.55515397
213,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019747,30.55515174
214,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019849,30.55514951
215,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3019951,30.55514728
216,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020053,30.55514505
217,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020155,30.55514281
218,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020257,30.55514058
219,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020359,30.55513835
220,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020461,30.55513612
221,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020563,30.55513389
222,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020665,30.55513166
223,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020767,30.55512943
224,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020869,30.5551272
225,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3020971,30.55512497
226,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021073,30.55512274
227,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021175,30.55512051
228,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021277,30.5551184
229,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302138,30.55511643
230,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021482,30.55511447
231,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021585,30.55511251
232,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021687,30.55511054
233,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302179,30.55510858
234,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021893,30.55510662
235,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3021995,30.55510465
236,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022098,30.55510269
237,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.30222,30.55510073
238,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022303,30.55509876
239,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022405,30.5550968
240,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022508,30.55509484
241,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022611,30.55509287
242,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022713,30.55509091
243,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022816,30.55508895
244,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3022918,30.55508698
245,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023021,30.55508502
246,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023123,30.55508306
247,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023226,30.5550811
248,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023329,30.55507913
249,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023431,30.55507717
250,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023534,30.55507521
251,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023636,30.55507324
252,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023739,30.55507128
253,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023841,30.55506932
254,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023944,30.55506735
255,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024047,30.55506539
